"","Team","MP","GF","GA","PEN","OG","OGF","OPG","SPG","GSI","GSO","GCI","GCO","TS","SOG","SW","SB","FKR","FKD","FKI","SOB","SOP","SGP","SGO","SWP","SWO","BSI","BSO","SG/S","AT","AFL","AFC","AFR","TS","TSL","OFF","ASS","SR","DPA","CLR","CC","CCR","TCK","TGP","SAV","Y","YCR","R","FC","FS","HB","PC","PCR","CRO","CRC","CCR2","CK","CC2","COCR","THR","Year","Loc","W","D","L"
"1","Algeria",3,0,2,0,0,0,0,0,0,0,1,1,41,7,24,10,4,2,2,1,0,3,4,9,15,0,10,NA,33,14,7,12,26,9,9,0,47,5,51,15,NA,34,17,17,4,2,0,51,30,3,1058,NA,60,14,NA,13,5,NA,72,"2010","South Africa",0,1,2
"2","Argentina",5,10,6,0,0,1,6,3,7,3,6,0,95,43,29,23,8,5,3,0,2,21,22,13,16,7,16,NA,70,20,28,22,25,15,12,4,113,27,19,4,NA,22,12,11,7,0,0,65,77,3,2294,NA,65,20,NA,33,16,NA,100,"2010","South Africa",4,0,1
"3","Australia",3,3,6,0,0,0,2,1,2,1,6,0,35,14,14,7,4,4,0,0,0,8,6,7,7,3,4,NA,30,7,9,14,13,5,4,1,25,16,23,8,NA,8,4,15,7,0,2,62,36,3,1045,NA,44,13,NA,13,5,NA,52,"2010","South Africa",1,1,1
"4","Brazil",5,9,4,0,0,0,9,1,9,0,2,2,89,31,42,16,5,5,0,0,1,20,11,15,27,2,14,NA,72,20,23,29,40,22,6,8,97,30,38,14,NA,38,14,13,7,1,1,78,76,2,2254,NA,82,19,NA,34,17,NA,99,"2010","South Africa",3,1,1
"5","Cote d'Ivoire",3,4,3,0,0,0,4,0,3,1,3,0,43,20,19,4,3,3,0,1,2,10,10,7,12,2,2,NA,35,11,9,15,14,4,8,3,75,19,16,4,NA,17,12,8,5,0,0,57,42,2,1125,NA,55,20,NA,16,10,NA,55,"2010","South Africa",1,1,1
"6","Cameroon",3,2,5,1,0,0,2,0,2,0,5,0,49,15,20,14,3,2,1,1,1,10,5,10,10,3,11,NA,32,11,8,13,17,7,6,0,50,25,4,1,NA,16,7,13,5,0,0,56,41,2,1201,NA,59,16,NA,16,9,NA,70,"2010","South Africa",0,0,3
"7","Chile",4,3,5,0,0,0,3,0,2,1,4,1,64,19,25,20,4,4,0,1,0,12,7,11,14,8,12,NA,49,19,16,14,34,17,17,3,61,38,19,2,NA,31,16,7,13,1,0,79,68,8,1441,NA,65,19,NA,20,9,NA,85,"2010","South Africa",2,0,2
"8","Denmark",3,3,6,0,1,0,3,1,3,0,3,2,42,16,16,10,3,3,0,1,0,10,6,8,8,3,7,NA,34,9,10,15,19,9,3,2,39,15,27,9,NA,29,13,18,6,0,0,55,27,3,1036,NA,42,12,NA,11,5,NA,77,"2010","South Africa",1,0,2
"9","England",4,3,5,0,0,0,1,2,3,0,4,1,65,31,24,10,6,6,0,2,1,15,16,8,16,3,7,NA,62,19,23,20,38,13,9,3,59,27,56,11,NA,30,7,13,6,0,0,51,47,4,1578,NA,67,14,NA,35,18,NA,88,"2010","South Africa",1,2,1
"10","France",3,1,4,0,0,0,1,0,1,0,4,0,41,11,19,11,7,7,0,0,0,4,7,6,13,2,9,NA,33,15,14,4,24,10,12,1,45,17,30,5,NA,18,5,13,6,0,1,53,47,1,1004,NA,55,13,NA,14,4,NA,64,"2010","South Africa",0,1,2
"11","Germany",7,16,5,0,0,0,14,2,15,1,5,0,102,42,42,18,4,4,0,2,0,32,10,16,26,6,12,NA,91,29,24,38,31,7,23,14,136,40,39,12,NA,41,14,28,11,1,0,75,80,4,2865,NA,134,35,NA,44,16,NA,113,"2010","South Africa",5,0,2
"12","Ghana",5,5,4,2,0,0,3,2,3,2,2,2,101,32,50,19,6,6,0,1,2,18,14,20,30,3,16,NA,56,12,24,20,18,10,10,1,67,36,41,8,NA,34,12,24,11,0,0,90,60,7,1646,NA,71,18,NA,26,6,NA,124,"2010","South Africa",2,2,1
"13","Greece",3,2,5,0,0,0,2,0,1,1,4,1,40,16,18,6,0,0,0,0,0,9,7,12,6,1,5,NA,42,14,12,16,13,3,7,0,53,10,30,2,NA,18,8,17,5,0,0,40,35,3,842,NA,61,9,NA,23,6,NA,56,"2010","South Africa",1,0,2
"14","Honduras",3,0,3,0,0,0,0,0,0,0,2,1,24,4,14,6,3,3,0,0,0,1,3,5,9,0,6,NA,20,9,4,7,17,6,18,0,24,9,27,11,NA,22,14,13,7,0,0,52,40,3,757,NA,28,9,NA,9,5,NA,60,"2010","South Africa",0,1,2
"15","Italy",3,4,5,1,0,0,3,1,3,1,4,1,49,18,18,13,2,2,0,0,1,7,11,10,8,4,9,NA,51,18,15,18,26,7,7,2,51,28,30,6,NA,28,15,1,5,0,0,43,58,4,1220,NA,63,21,NA,26,13,NA,86,"2010","South Africa",0,2,1
"16","Japan",4,4,2,0,0,0,2,2,2,2,1,1,46,27,17,2,4,4,0,2,1,12,15,7,10,0,2,NA,33,8,8,17,21,8,11,2,23,16,33,3,NA,8,5,17,7,0,0,70,92,7,890,NA,43,7,NA,12,5,NA,90,"2010","South Africa",2,1,1
"17","Korea DPR",3,1,12,0,0,0,1,0,0,1,11,1,34,11,20,3,5,4,1,0,0,3,8,3,17,1,2,NA,18,3,10,5,20,6,6,1,28,5,34,7,NA,21,10,21,2,0,0,26,43,1,804,NA,23,8,NA,4,2,NA,43,"2010","South Africa",0,0,3
"18","Korea Republic",4,6,8,0,1,0,2,5,5,1,7,0,62,22,24,16,10,9,1,0,1,13,9,8,16,5,11,NA,51,20,10,21,16,8,3,2,58,28,50,20,NA,17,9,16,6,0,0,57,59,4,1328,NA,50,14,NA,18,5,NA,102,"2010","South Africa",1,1,2
"19","Mexico",4,4,5,1,0,0,3,1,4,0,3,2,53,18,29,6,5,5,0,2,0,9,9,10,19,0,6,NA,54,15,18,21,29,11,14,3,62,17,40,12,NA,25,9,14,9,0,0,84,63,5,1598,NA,55,12,NA,17,10,NA,77,"2010","South Africa",1,1,2
"20","Netherlands",7,12,6,0,0,1,9,1,7,5,4,2,93,46,34,13,14,14,0,1,2,22,24,14,20,2,11,NA,69,23,26,20,26,17,29,10,92,35,65,22,NA,32,11,21,22,1,0,126,116,10,2665,NA,94,25,NA,31,10,NA,147,"2010","South Africa",6,0,1
"21","New Zealand",3,2,2,0,0,0,1,1,2,0,2,0,15,3,10,2,0,0,0,0,0,3,0,5,5,0,2,NA,11,8,1,2,3,0,3,1,13,8,26,2,NA,10,4,12,6,0,0,61,35,4,663,NA,28,2,NA,3,2,NA,60,"2010","South Africa",0,3,0
"22","Nigeria",3,3,5,1,0,0,1,2,2,1,3,2,32,9,20,3,5,5,0,0,1,5,4,8,12,0,3,NA,25,6,7,12,23,11,1,1,40,11,45,9,NA,21,8,21,5,0,1,45,32,2,799,NA,41,6,NA,8,5,NA,70,"2010","South Africa",0,1,2
"23","Paraguay",5,3,2,0,0,0,1,2,2,1,2,0,63,26,28,9,3,3,0,0,0,16,10,13,15,5,4,NA,39,17,7,15,27,14,7,3,40,24,47,11,NA,25,11,12,9,0,0,97,79,9,1555,NA,56,19,NA,14,6,NA,131,"2010","South Africa",1,3,1
