"","Year","Winners","Runnersup","Team","MP","GF","GA","PEN","SOG","SW","FKR","OFF","CK","W","D","L","Y","YCR","R","FC","FS","Loc"
"1","1930","Uruguay","Argentina","Romania",2,3,5,0,3,0,0,0,0,1,0,1,0,0,0,0,0,"Uruguay"
"2","1930","Uruguay","Argentina","Uruguay",4,15,3,0,15,0,0,0,0,4,0,0,0,0,0,0,0,"Uruguay"
"3","1930","Uruguay","Argentina","USA",3,7,6,0,7,0,0,0,0,2,0,1,0,0,0,0,0,"Uruguay"
"4","1930","Uruguay","Argentina","Yugoslavia",3,7,7,0,7,0,0,0,0,2,0,1,0,0,0,0,0,"Uruguay"
"5","1930","Uruguay","Argentina","Argentina",5,18,9,0,18,0,0,0,0,4,0,1,0,0,0,0,0,"Uruguay"
"6","1930","Uruguay","Argentina","Belgium",2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"Uruguay"
"7","1930","Uruguay","Argentina","Bolivia",2,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"Uruguay"
"8","1930","Uruguay","Argentina","Brazil",2,5,2,0,5,0,0,0,0,1,0,1,0,0,0,0,0,"Uruguay"
"9","1930","Uruguay","Argentina","Chile",3,5,3,0,4,0,0,0,0,2,0,1,0,0,0,0,0,"Uruguay"
"10","1930","Uruguay","Argentina","France",3,4,3,0,4,0,0,0,0,1,0,2,0,0,0,0,0,"Uruguay"
"11","1930","Uruguay","Argentina","Mexico",3,4,13,1,4,0,0,0,0,0,0,3,0,0,0,0,0,"Uruguay"
"12","1930","Uruguay","Argentina","Paraguay",2,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,"Uruguay"
"13","1930","Uruguay","Argentina","Peru",2,1,4,0,1,0,0,0,0,0,0,2,0,0,1,0,0,"Uruguay"
"14","1934","Italy","Czechoslovakia","Spain",3,4,3,1,4,0,0,0,0,1,1,1,0,0,0,0,0,"Italy"
"15","1934","Italy","Czechoslovakia","Argentina",1,2,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,"Italy"
"16","1934","Italy","Czechoslovakia","Austria",4,7,7,0,7,0,0,0,0,2,0,2,0,0,0,0,0,"Italy"
"17","1934","Italy","Czechoslovakia","Belgium",1,2,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,"Italy"
"18","1934","Italy","Czechoslovakia","Brazil",1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Italy"
"19","1934","Italy","Czechoslovakia","Czechoslovakia",4,9,6,0,9,0,0,0,0,3,0,1,0,0,0,0,0,"Italy"
"20","1934","Italy","Czechoslovakia","Egypt",1,2,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,"Italy"
"21","1934","Italy","Czechoslovakia","France",1,2,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,"Italy"
"22","1934","Italy","Czechoslovakia","Germany",4,11,8,0,11,0,0,0,0,3,0,1,0,0,0,0,0,"Italy"
"23","1934","Italy","Czechoslovakia","Hungary",2,5,4,1,5,0,0,0,0,1,0,1,0,0,1,0,0,"Italy"
"24","1934","Italy","Czechoslovakia","Italy",5,12,3,0,12,0,0,0,0,4,1,0,0,0,0,0,0,"Italy"
"25","1934","Italy","Czechoslovakia","Netherlands",1,2,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,"Italy"
"26","1934","Italy","Czechoslovakia","Romania",1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Italy"
"27","1934","Italy","Czechoslovakia","Sweden",2,4,4,0,4,0,0,0,0,1,0,1,0,0,0,0,0,"Italy"
"28","1934","Italy","Czechoslovakia","Switzerland",2,5,5,0,5,0,0,0,0,1,0,1,0,0,0,0,0,"Italy"
"29","1934","Italy","Czechoslovakia","USA",1,1,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Italy"
"30","1938","Italy","Hungary","Switzerland",3,5,5,0,5,0,0,0,0,1,1,1,0,0,0,0,0,"France"
"31","1938","Italy","Hungary","Czechoslovakia",3,5,3,1,5,0,0,0,0,1,1,1,0,0,1,0,0,"France"
"32","1938","Italy","Hungary","Dutch East Indies",1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"France"
"33","1938","Italy","Hungary","France",2,4,4,0,4,0,0,0,0,1,0,1,0,0,0,0,0,"France"
"34","1938","Italy","Hungary","Germany",2,3,5,0,2,0,0,0,0,0,1,1,0,0,1,0,0,"France"
"35","1938","Italy","Hungary","Hungary",4,15,5,0,14,0,0,0,0,3,0,1,0,0,0,0,0,"France"
"36","1938","Italy","Hungary","Italy",4,11,5,1,11,0,0,0,0,4,0,0,0,0,0,0,0,"France"
"37","1938","Italy","Hungary","Netherlands",1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"France"
"38","1938","Italy","Hungary","Norway",1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"France"
